

Nos gerados: 91, Nos expandidos: 6, Penetrância: 1/91
Estado: (((0 0 0) (0 0 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 0, Heuristica: 2, Custo: 2 
Estado: (((0 0 0) (0 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 1, Heuristica: 2, Custo: 3 
Estado: (((0 0 0) (0 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 1 1) (0 1 1))), Profundidade: 2, Heuristica: 2, Custo: 4 


Nos gerados: 81, Nos expandidos: 6, Penetrância: 1/81
Estado: (((0 0 0) (0 0 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 0, Heuristica: 2, Custo: 2 
Estado: (((1 0 0) (0 0 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 1, Heuristica: 2, Custo: 3 
Estado: (((1 1 0) (0 0 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 2, Heuristica: 2, Custo: 4 
Estado: (((1 1 1) (0 0 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 3, Heuristica: 2, Custo: 5 
Estado: (((1 1 1) (1 0 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 4, Heuristica: 2, Custo: 6 
Estado: (((1 1 1) (1 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 5, Heuristica: 2, Custo: 7 
Estado: (((1 1 1) (1 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 1 1) (0 1 1))), Profundidade: 6, Heuristica: 2, Custo: 8 


Nos gerados: 91, Nos expandidos: 6, Penetrância: 1/91
Estado: (((0 0 0) (0 0 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 0, Heuristica: 2, Custo: 2 
Estado: (((0 0 0) (0 1 1) (0 1 1) (0 0 1)) ((0 0 0) (0 1 0) (0 0 1) (0 1 1))), Profundidade: 1, Heuristica: 2, Custo: 3 
